取得日時,ダムコード,日付,時刻,貯水位,区分,全流入量,全放流量,貯水率利水容量,貯水率有効容量
2026-09-23 00:18:27,90013,2026/09/23,00:00,548.72,1,3.0,0.39,44.0,39.7
2026-09-23 01:18:47,90013,2026/09/23,01:00,548.73,2,0.97,0.39,44.0,39.7
2026-09-23 02:16:49,90013,2026/09/23,02:00,548.74,2,2.89,0.39,44.0,39.7
2026-09-23 03:22:20,90013,2026/09/23,03:00,548.75,2,3.73,0.39,44.0,39.7
2026-09-23 04:16:10,90013,2026/09/23,04:00,548.76,2,2.89,0.39,44.1,39.7
2026-09-23 05:17:14,90013,2026/09/23,05:00,548.77,2,3.73,0.39,44.1,39.8
2026-09-23 06:16:13,90013,2026/09/23,06:00,548.78,2,2.61,0.39,44.1,39.8
2026-09-23 07:17:17,90013,2026/09/23,07:00,548.78,1,2.61,0.39,44.1,39.8
2026-09-23 08:16:03,90013,2026/09/23,08:00,548.79,1,3.17,0.39,44.1,39.8
2026-09-23 09:23:44,90013,2026/09/23,09:00,548.8,1,3.17,0.39,44.2,39.8
2026-09-23 10:17:04,90013,2026/09/23,10:00,548.81,1,3.17,0.39,44.2,39.8
2026-09-23 11:18:29,90013,2026/09/23,11:00,548.82,1,3.17,0.39,44.2,39.8
