取得日時,ダムコード,日付,時刻,貯水位,区分,全流入量,全放流量,貯水率利水容量,貯水率有効容量
2026-09-25 00:19:44,90013,2026/09/25,00:00,549.11,1,3.24,0.39,44.8,40.4
2026-09-25 01:19:55,90013,2026/09/25,01:00,549.12,1,3.24,0.39,44.8,40.4
2026-09-25 02:17:27,90013,2026/09/25,02:00,549.12,1,0.39,0.39,44.8,40.4
2026-09-25 03:22:12,90013,2026/09/25,03:00,549.13,1,3.24,0.39,44.8,40.4
2026-09-25 04:16:49,90013,2026/09/25,04:00,549.14,1,3.24,0.39,44.9,40.4
2026-09-25 05:19:41,90013,2026/09/25,05:00,549.14,1,0.39,0.39,44.9,40.4
2026-09-25 06:17:46,90013,2026/09/25,06:00,549.15,1,3.24,0.39,44.9,40.5
2026-09-25 07:18:10,90013,2026/09/25,07:00,549.16,1,3.24,0.39,44.9,40.5
2026-09-25 08:16:53,90013,2026/09/25,08:00,549.16,1,0.39,0.39,44.9,40.5
2026-09-25 09:26:49,90013,2026/09/25,09:00,549.17,1,3.24,0.39,44.9,40.5
2026-09-25 10:17:08,90013,2026/09/25,10:00,549.18,1,3.24,0.39,44.9,40.5
2026-09-25 11:17:21,90013,2026/09/25,11:00,549.18,1,0.39,0.39,44.9,40.5
2026-09-25 12:17:41,90013,2026/09/25,12:00,549.19,1,3.24,0.39,45.0,40.5
2026-09-25 13:19:04,90013,2026/09/25,13:00,549.19,1,0.39,0.39,45.0,40.5
2026-09-25 14:17:45,90013,2026/09/25,14:00,549.2,1,3.24,0.39,45.0,40.6
2026-09-25 15:23:43,90013,2026/09/25,15:00,549.21,1,3.24,0.39,45.0,40.6
2026-09-25 16:19:47,90013,2026/09/25,16:00,549.21,1,0.39,0.39,45.0,40.6
2026-09-25 17:19:33,90013,2026/09/25,17:00,549.22,1,3.24,0.39,45.0,40.6
2026-09-25 18:19:07,90013,2026/09/25,18:00,549.23,1,3.24,0.39,45.0,40.6
2026-09-25 19:18:44,90013,2026/09/25,19:00,549.23,1,0.39,0.4,45.0,40.6
2026-09-25 20:18:29,90013,2026/09/25,20:00,549.24,1,3.24,0.39,45.1,40.6
2026-09-25 21:23:35,90013,2026/09/25,21:00,549.24,1,0.39,0.39,45.1,40.6
