取得日時,ダムコード,日付,時刻,貯水位,区分,全流入量,全放流量,貯水率利水容量,貯水率有効容量
2026-09-17 00:18:15,90013,2026/09/17,00:00,550.02,1,2.77,0.39,46.7,42.1
2026-09-17 01:18:59,90013,2026/09/17,01:00,550.03,2,0.68,0.4,46.7,42.1
2026-09-17 02:16:30,90013,2026/09/17,02:00,550.03,1,3.04,0.39,46.7,42.1
2026-09-17 03:20:58,90013,2026/09/17,03:00,550.04,1,3.33,0.4,46.8,42.2
2026-09-17 04:17:17,90013,2026/09/17,04:00,550.05,1,3.33,0.39,46.8,42.2
2026-09-17 05:19:15,90013,2026/09/17,05:00,550.06,2,3.04,0.4,46.8,42.2
2026-09-17 06:18:39,90013,2026/09/17,06:00,550.06,1,0.68,0.4,46.8,42.2
2026-09-17 07:17:13,90013,2026/09/17,07:00,550.07,1,3.33,0.39,46.8,42.2
2026-09-17 08:17:00,90013,2026/09/17,08:00,550.08,1,3.33,0.39,46.8,42.2
2026-09-17 09:24:39,90013,2026/09/17,09:00,550.09,1,3.33,0.39,46.9,42.2
2026-09-17 10:18:17,90013,2026/09/17,10:00,550.1,2,1.27,0.39,46.9,42.3
2026-09-17 11:18:12,90013,2026/09/17,11:00,550.1,1,2.45,0.39,46.9,42.3
2026-09-17 12:18:40,90013,2026/09/17,12:00,550.11,1,3.91,11.8,46.9,42.3
2026-09-17 13:19:09,90013,2026/09/17,13:00,550.09,3,7.24,12.59,46.9,42.2
2026-09-17 14:18:00,90013,2026/09/17,14:00,550.06,3,4.66,12.59,46.8,42.2
